BITCOIN ,,,ETHEREUM,
Date,Close,,Date,Close
2020-01-01,7177.57,,2020-01-01,130.27
2020-01-02,6946.33,,2020-01-02,126.81
2020-01-03,7308.09,,2020-01-03,133.57
2020-01-04,7347.49,,2020-01-04,134.13
2020-01-05,7342.49,,2020-01-05,134.99
2020-01-06,7770.88,,2020-01-06,144.19
2020-01-07,8168.44,,2020-01-07,143.35
2020-01-08,8045.51,,2020-01-08,140.6
2020-01-09,7813.78,,2020-01-09,137.71
2020-01-10,8170.27,,2020-01-10,144.72
2020-01-11,8021.84,,2020-01-11,142.63
2020-01-12,8165.21,,2020-01-12,146.6
2020-01-13,8104.5,,2020-01-13,143.51
2020-01-14,8822.71,,2020-01-14,165.76
2020-01-15,8808.81,,2020-01-15,166.29
2020-01-16,8714.76,,2020-01-16,163.93
2020-01-17,8899.42,,2020-01-17,169.59
2020-01-18,8909.32,,2020-01-18,174.43
2020-01-19,8697.53,,2020-01-19,166.75
2020-01-20,8619.52,,2020-01-20,166.68
2020-01-21,8722.03,,2020-01-21,169.19
2020-01-22,8653.84,,2020-01-22,167.7
2020-01-23,8385.21,,2020-01-23,162.4
2020-01-24,8427.26,,2020-01-24,162.3
2020-01-25,8326.81,,2020-01-25,160.12
2020-01-26,8595,,2020-01-26,167.35
2020-01-27,8895.95,,2020-01-27,169.77
2020-01-28,9394.5,,2020-01-28,175.77
2020-01-29,9290.62,,2020-01-29,173.4
2020-01-30,9503.08,,2020-01-30,184.55
2020-01-31,9334.98,,2020-01-31,179.74
2020-02-01,9382.65,,2020-02-01,183.68
2020-02-02,9323.5,,2020-02-02,188.39
2020-02-03,9290.23,,2020-02-03,189.68
2020-02-04,9164.33,,2020-02-04,188.24
2020-02-05,9613.82,,2020-02-05,204
2020-02-06,9763.01,,2020-02-06,212.95
2020-02-07,9808.04,,2020-02-07,223.22
2020-02-08,9905.64,,2020-02-08,223.37
2020-02-09,10168.8,,2020-02-09,228.8
2020-02-10,9851.78,,2020-02-10,222.85
2020-02-11,10270,,2020-02-11,237.98
2020-02-12,10351.1,,2020-02-12,266.41
2020-02-13,10236.4,,2020-02-13,268.42
2020-02-14,10371.3,,2020-02-14,286.27
2020-02-15,9911.21,,2020-02-15,264.92
2020-02-16,9921,,2020-02-16,258.5
2020-02-17,9700,,2020-02-17,268.03
2020-02-18,10188,,2020-02-18,282.81
2020-02-19,9600.08,,2020-02-19,259.48
2020-02-20,9622.89,,2020-02-20,257.97
2020-02-21,9700.35,,2020-02-21,265.8
2020-02-22,9668.23,,2020-02-22,262.079
2020-02-23,9966,,2020-02-23,275.21
2020-02-24,9660,,2020-02-24,266.16
2020-02-25,9304.99,,2020-02-25,247.93
2020-02-26,8778.29,,2020-02-26,224.73
2020-02-27,8812.49,,2020-02-27,227.63
2020-02-28,8708.89,,2020-02-28,227.37
2020-02-29,8556.58,,2020-02-29,218.55
2020-03-01,8522.33,,2020-03-01,218.18
2020-03-02,8915,,2020-03-02,232.08
2020-03-03,8757.84,,2020-03-03,223.57
2020-03-04,8760.66,,2020-03-04,223.98
2020-03-05,9060.93,,2020-03-05,228.49
2020-03-06,9145.77,,2020-03-06,244.73
2020-03-07,8901.37,,2020-03-07,237.75
2020-03-08,8033.54,,2020-03-08,198.99
2020-03-09,7934.52,,2020-03-09,201.39
2020-03-10,7884.87,,2020-03-10,200.15
2020-03-11,7938.05,,2020-03-11,194.61
2020-03-12,4857.1,,2020-03-12,106.09
2020-03-13,5637.6,,2020-03-13,133.33
2020-03-14,5165.25,,2020-03-14,122.17
2020-03-15,5342.64,,2020-03-15,123.3
2020-03-16,5024,,2020-03-16,110.82
2020-03-17,5331.72,,2020-03-17,116.09
2020-03-18,5413.64,,2020-03-18,118.6
2020-03-19,6186.95,,2020-03-19,136.68
2020-03-20,6201.61,,2020-03-20,133.27
2020-03-21,6198.78,,2020-03-21,132.11
2020-03-22,5834.78,,2020-03-22,122.42
2020-03-23,6499.12,,2020-03-23,136.35
2020-03-24,6766.65,,2020-03-24,139
2020-03-25,6690,,2020-03-25,136.26
2020-03-26,6759.85,,2020-03-26,139
2020-03-27,6372.36,,2020-03-27,131.57
2020-03-28,6251.82,,2020-03-28,131.35
2020-03-29,5902.05,,2020-03-29,125.01
2020-03-30,6406.4,,2020-03-30,132.32
2020-03-31,6445.67,,2020-03-31,133.08
2020-04-01,6664.85,,2020-04-01,136.16
2020-04-02,6805.12,,2020-04-02,141.53
2020-04-03,6741.99,,2020-04-03,141.42
2020-04-04,6874.77,,2020-04-04,144.48
2020-04-05,6794.49,,2020-04-05,142.79
2020-04-06,7341.56,,2020-04-06,170.74
2020-04-07,7209.62,,2020-04-07,164.97
2020-04-08,7370.11,,2020-04-08,173.36
2020-04-09,7293.24,,2020-04-09,170.22
2020-04-10,6871.91,,2020-04-10,158.1
2020-04-11,6889.65,,2020-04-11,158.55
2020-04-12,6908.13,,2020-04-12,160.09
2020-04-13,6861.21,,2020-04-13,156.62
2020-04-14,6877.37,,2020-04-14,157.97
2020-04-15,6624.12,,2020-04-15,153.21
2020-04-16,7112.78,,2020-04-16,172.31
2020-04-17,7036.25,,2020-04-17,170.89
2020-04-18,7254.33,,2020-04-18,187.46
2020-04-19,7130.71,,2020-04-19,180.57
2020-04-20,6838.19,,2020-04-20,170.5
2020-04-21,6853.68,,2020-04-21,171.07
2020-04-22,7136.84,,2020-04-22,183.11
2020-04-23,7472.45,,2020-04-23,185.2
2020-04-24,7508.67,,2020-04-24,187.71
2020-04-25,7543.29,,2020-04-25,194.51
2020-04-26,7692.05,,2020-04-26,197.53
2020-04-27,7785.73,,2020-04-27,196.78
2020-04-28,7758.4,,2020-04-28,197.63
2020-04-29,8780.01,,2020-04-29,215.52
2020-04-30,8624.28,,2020-04-30,206.23
2020-05-01,8829.42,,2020-05-01,212.09
2020-05-02,8985,,2020-05-02,214.25
