Date,DOW JONES,S&P 500,RUSSELL 2000
1/2/2020 16:00,28868.8,3257.85,1666.77
1/3/2020 16:00,28634.88,3234.85,1660.87
1/6/2020 16:00,28703.38,3246.28,1663.26
1/7/2020 16:00,28583.68,3237.18,1658.31
1/8/2020 16:00,28745.09,3253.05,1663.59
1/9/2020 16:00,28956.9,3274.7,1664.99
1/10/2020 16:00,28823.77,3265.35,1657.64
1/13/2020 16:00,28907.05,3288.13,1669.61
1/14/2020 16:00,28939.67,3283.15,1675.74
1/15/2020 16:00,29030.22,3289.29,1682.4
1/16/2020 16:00,29297.64,3316.81,1705.22
1/17/2020 16:00,29348.1,3329.62,1699.64
1/21/2020 16:00,29196.04,3320.79,1685.9
1/22/2020 16:00,29186.27,3321.75,1684.46
1/23/2020 16:00,29160.09,3325.54,1685.01
1/24/2020 16:00,28989.73,3295.47,1662.23
1/27/2020 16:00,28535.8,3243.63,1644.14
1/28/2020 16:00,28722.85,3276.24,1658.31
1/29/2020 16:00,28734.45,3273.4,1649.22
1/30/2020 16:00,28859.44,3283.66,1648.22
1/31/2020 16:00,28256.03,3225.52,1614.06
2/3/2020 16:00,28399.81,3248.92,1632.21
2/4/2020 16:00,28807.63,3297.59,1656.77
2/5/2020 16:00,29290.85,3334.69,1681.92
2/6/2020 16:00,29379.77,3345.78,1677.46
2/7/2020 16:00,29102.51,3327.71,1656.78
2/10/2020 16:00,29276.82,3352.09,1667.67
2/11/2020 16:00,29276.34,3357.75,1677.51
2/12/2020 16:00,29551.42,3379.45,1689.38
2/13/2020 16:00,29423.31,3373.94,1693.74
2/14/2020 16:00,29398.08,3380.16,1687.58
2/18/2020 16:00,29232.19,3370.29,1683.52
2/19/2020 16:00,29348.03,3386.15,1692.57
2/20/2020 16:00,29219.98,3373.23,1696.07
2/21/2020 16:00,28992.41,3337.75,1678.61
2/24/2020 16:00,27960.8,3225.89,1628.1
2/25/2020 16:00,27081.36,3128.21,1571.9
2/26/2020 16:00,26957.59,3116.39,1552.76
2/27/2020 16:00,25766.64,2978.76,1497.87
2/28/2020 16:00,25409.36,2954.22,1476.43
3/2/2020 16:00,26703.32,3090.23,1518.49
3/3/2020 16:00,25917.41,3003.37,1486.08
3/4/2020 16:00,27090.86,3130.12,1531.2
3/5/2020 16:00,26121.28,3023.94,1478.82
3/6/2020 16:00,25864.78,2972.37,1449.22
3/9/2020 16:00,23851.02,2746.56,1313.44
3/10/2020 16:00,25018.16,2882.23,1350.9
3/11/2020 16:00,23553.22,2741.38,1264.3
3/12/2020 16:00,21200.62,2480.64,1122.93
3/13/2020 16:00,23185.62,2711.02,1210.13
3/16/2020 16:00,20188.52,2386.13,1037.42
3/17/2020 16:00,21237.38,2529.19,1106.68
3/18/2020 16:00,19898.92,2398.1,991.16
3/19/2020 16:00,20087.19,2409.39,1058.75
3/20/2020 16:00,19173.98,2304.92,1014.05
3/23/2020 16:00,18591.93,2237.4,1002.4
3/24/2020 16:00,20704.91,2447.33,1096.54
3/25/2020 16:00,21200.55,2475.56,1110.34
3/26/2020 16:00,22552.17,2630.07,1180.32
3/27/2020 16:00,21636.78,2541.47,1131.99
3/30/2020 16:00,22327.48,2626.65,1158.32
3/31/2020 16:00,21917.16,2584.59,1153.1
4/1/2020 16:00,20943.51,2470.5,1071.99
4/2/2020 16:00,21413.44,2526.9,1085.81
4/3/2020 16:00,21052.53,2488.65,1052.05
4/6/2020 16:00,22679.99,2663.68,1138.78
4/7/2020 16:00,22653.86,2659.41,1139.17
4/8/2020 16:00,23433.57,2749.98,1191.66
4/9/2020 16:00,23719.37,2789.82,1246.73
4/13/2020 16:00,23390.77,2761.63,1212.04
4/14/2020 16:00,23949.76,2846.06,1237.33
4/15/2020 16:00,23504.35,2783.36,1183.98
4/16/2020 16:00,23537.68,2799.55,1178.09
4/17/2020 16:00,24242.49,2874.56,1229.1
4/20/2020 16:00,23650.44,2823.16,1213.35
4/21/2020 16:00,23018.88,2736.56,1185.09
4/22/2020 16:00,23475.82,2799.31,1201.52
4/23/2020 16:00,23515.26,2797.8,1214.06
4/24/2020 16:00,23775.27,2836.74,1233.05
4/27/2020 16:00,24133.78,2878.48,1281.88
4/28/2020 16:00,24101.55,2863.39,1298.08
4/29/2020 16:00,24633.86,2939.51,1360.76
4/30/2020 16:00,24345.72,2912.43,1310.66
5/1/2020 16:00,23723.69,2830.71,1260.48
5/4/2020 16:00,23749.76,2842.74,1263.97
5/5/2020 16:00,23883.09,2868.44,1273.51
5/6/2020 16:00,23664.64,2848.42,1263.01
5/7/2020 16:00,23875.89,2881.19,1282.93
5/8/2020 16:00,24331.32,2929.8,1329.64
5/11/2020 16:00,24221.99,2930.32,1321.24
5/12/2020 16:00,23764.78,2870.12,1275.54
5/13/2020 16:00,23247.97,2820,1233.25
5/14/2020 16:00,23625.34,2852.5,1237.55
5/15/2020 16:00,23685.42,2863.7,1256.99
5/18/2020 16:00,24597.37,2953.91,1333.69
5/19/2020 16:00,24206.86,2922.94,1307.72
5/20/2020 16:00,24575.9,2971.61,1346.93
5/21/2020 16:00,24474.12,2948.51,1347.56
5/22/2020 16:00,24465.16,2955.45,1355.53
5/26/2020 16:00,24995.11,2991.77,1393.07
5/27/2020 16:00,25548.27,3036.13,1436.36
5/28/2020 16:00,25400.64,3029.73,1400.67
5/29/2020 16:00,25383.11,3044.31,1394.04
6/1/2020 16:00,25475.02,3055.73,1405.37
6/2/2020 16:00,25742.65,3080.82,1418.21
6/3/2020 16:00,26269.89,3122.87,1452.09
6/4/2020 16:00,26281.82,3112.35,1452.06
6/5/2020 16:00,27110.98,3193.93,1507.15
6/8/2020 16:00,27572.44,3232.39,1536.89
6/9/2020 16:00,27272.3,3207.18,1507.05
6/10/2020 16:00,26989.99,3190.14,1467.39
6/11/2020 16:00,25128.17,3002.1,1356.22
6/12/2020 16:00,25605.54,3041.31,1387.68
6/15/2020 16:00,25763.16,3066.59,1419.61
6/16/2020 16:00,26289.98,3124.74,1452.26
6/17/2020 16:00,26119.61,3113.49,1426.53
6/18/2020 16:00,26080.1,3115.34,1427.08
6/19/2020 16:00,25871.46,3097.74,1418.63
6/22/2020 16:00,26024.96,3117.86,1433.53
6/23/2020 16:00,26156.1,3131.29,1439.34
6/24/2020 16:00,25445.94,3050.33,1389.74
6/25/2020 16:00,25745.6,3083.76,1413.31
6/26/2020 16:00,25015.55,3009.05,1378.78
6/29/2020 16:00,25595.8,3053.24,1421.21
6/30/2020 16:00,25812.88,3100.29,1441.37
